time,home,away,1_1,1_X,1_2,2_1,2_X,2_2,3_1,3_X,3_2,H_1,H_1_source,H_X,H_X_source,H_2,H_2_source,inv_H_1,inv_H_X,inv_H_2,sum_inv_H,bet_amt_1,bet_amt_X,bet_amt_2,profit
19:00,Monaco,Nantes,1.53,4.45,5.7,1.61,4.47,5.64,1.533,4.71,6.63,1.61,2_1,4.71,3_X,6.63,3_2,0.6211180124223602,0.21231422505307856,0.15082956259426847,0.9842618000697073,63.10495971482094,21.5709097963613,15.324130488817755,1.5989851408617284
21:00,Villarreal,Valencia,1.66,3.95,5.15,1.65,4.26,5.55,1.647,4.32,5.66,1.66,1_1,4.32,3_X,5.66,3_2,0.6024096385542169,0.23148148148148145,0.17667844522968199,1.0105695652653803,59.610902530596334,22.90604125018284,17.48305621922083,-1.0459017992100854
