1,X,2,1X,12,2X,O,U,home,away,time
1.90,3.15,4.00,1.16,1.25,1.70,2.18,1.58,Operario Ferroviario EC PR,Maringa FC PR,20:00
5.80,3.60,1.55,2.13,1.19,1.06,2.26,1.55,Parana,Coritiba,20:00
2.08,3.15,3.80,1.24,1.32,1.69,2.52,1.48,Ponte Preta,Botafogo,20:00
1.76,3.25,4.55,1.12,1.24,1.83,2.14,1.60,GD Prudente SP,Atletico Linense,20:00
2.26,2.92,3.20,1.25,1.29,1.49,2.50,1.45,Sao Bento,Juventus,20:00
2.10,3.10,3.35,1.22,1.26,1.57,2.10,1.63,Comercial,SE Itapirense SP,20:00
3.15,3.20,2.17,1.53,1.25,1.25,2.05,1.66,Audax,Barretos SP,20:00
2.96,3.15,2.35,1.50,1.29,1.33,2.00,1.73,Afogados Ingazeira PE,Maguary PE,20:00
2.50,2.95,2.80,1.32,1.29,1.40,2.35,1.50,Piaui PI,AA Oeirense PI,20:00
2.56,2.86,2.80,1.32,1.31,1.38,2.40,1.48,Algeciras,Recreativo de Huelva,20:00
2.20,3.10,3.10,1.26,1.26,1.51,2.26,1.55,Barakaldo,Andorra,20:00
1.07,8.30,24.00,,1.01,5.60,1.43,2.55,AD Confianca SE,Barra SE,20:00
1.32,5.25,8.20,1.04,1.12,3.10,1.58,2.25,Legia Warsaw,Puszcza Niepolomice,20:15
2.24,3.60,2.97,1.36,1.26,1.60,1.53,2.40,Fortuna Dusseldorf,Hertha BSC,20:30
2.20,3.20,3.05,1.27,1.25,1.51,2.26,1.55,Manauara EC AM,Nacional FC AM,20:30
1.48,4.00,6.00,1.05,1.16,2.28,2.05,1.66,Criciuma,CN Marcilio Dias SC,20:30
2.26,3.15,2.97,1.28,1.25,1.49,2.00,1.68,Ferroviario,CF Atletas do Tirol CE,20:30
3.45,3.50,1.98,1.71,1.24,1.25,1.83,1.87,Longford Town,Bray Wanderers,20:30
3.40,2.95,2.24,1.55,1.33,1.26,2.58,1.45,Avenida,Brasil de Pelotas,20:30
1.80,3.15,4.80,1.13,1.29,1.87,2.57,1.45,Caxias RS,Sao Jose,20:30
2.74,2.78,2.78,1.37,1.37,1.38,2.52,1.46,Guarany de Bage FC,Sao Luiz,20:30
1.19,6.30,12.25,-,1.07,4.00,1.48,2.47,Internacional,Monsoon FC RS,20:30
5.05,3.35,1.70,1.99,1.26,1.12,2.28,1.56,Pelotas,Juventude,20:30
3.15,3.05,2.30,1.53,1.31,1.29,2.27,1.56,Ypiranga,Gremio,20:30
2.72,2.97,2.57,1.38,1.28,1.34,2.40,1.48,1 Dezembro,CF Os Belenenses,20:30
2.17,2.92,3.40,1.22,1.29,1.53,2.46,1.46,Nova Mutum EC MT,Primavera AC MT,20:30
5.80,3.75,1.52,2.19,1.18,1.06,1.94,1.74,Uniao EC MT,Cuiaba,20:30
1.36,4.30,8.10,1.01,1.13,2.63,1.88,1.78,Atletico MG,Tombense,20:30
2.36,3.30,2.70,1.34,1.23,1.45,1.86,1.80,KVV Thes Sport Tessenderlo,Belisia Bilzen SV,20:30
3.30,3.20,2.07,1.58,1.25,1.23,2.05,1.66,EC Patos PB,Campinense PB,20:30
1.60,3.50,5.70,1.09,1.24,2.15,2.32,1.54,Sport Recife,Nautico,20:30
1.33,5.00,7.10,1.03,1.09,2.75,1.53,2.30,Descaldes,Ordino,20:30
4.00,3.10,1.90,1.70,1.26,1.16,2.30,1.52,Departivo Rayo Zuliano,Deportivo Tachira,20:30
1.42,3.90,7.30,1.02,1.16,2.43,2.12,1.62,Dourados AC MS,Naviraiense MS,20:30
5.50,4.50,1.52,2.41,1.18,1.12,1.50,2.48,Winterthur,Young Boys Bern,20:30
